name,total_budget,total_revenue,total_return
Peter Billingsley,86500000.0,171866096.0,1.9868912832369945
Joby Harold,86000000.0,14373825.0,0.1671375
Alejandro Amenábar,85706000.0,98263116.0,1.146513849672135
Steve Pink,85500000.0,164394606.0,1.9227439298245612
Juan Antonio Bayona,85000000.0,270926891.0,3.1873751882352943
John Whitesell,85000000.0,271675691.0,3.1961846
Vincent Ward,85000000.0,71485043.0,0.841000505882353
Angelina Jolie,85000000.0,167474560.0,1.9702889411764704
Daniel Lee,85000000.0,121545703.0,1.4299494470588234
Jill Culton,85000000.0,197309027.0,2.3212826705882352
Barbra Streisand,84000000.0,105187599.0,1.2522333214285717
Scott Hicks,84000000.0,216143989.0,2.573142726190476
Jérôme Salle,83944760.0,0.0,0.0
Stephen T. Kay,83600000.0,86605852.0,1.0359551674641148
Sofia Coppola,83500000.0,235196244.0,2.81672148502994
Shim Hyung-Rae,83400000.0,70287404.0,0.8427746282973622
James Algar,83138000.0,441641720.0,5.312152325049917
David A. Armstrong,83000000.0,0.0,0.0
Fyodor Bondarchuk,82277106.0,119838234.0,1.456519800295358
Scott Cooper,82000000.0,153700310.0,1.874394024390244
Soi Cheang,82000000.0,0.0,0.0
Griffin Dunne,81000000.0,136502524.0,1.6852163456790124
Bennett Miller,81000000.0,171387346.0,2.115893160493828
David Kellogg,81000000.0,1193062.0,0.0147291604938271
Stephen Chow,80720000.0,744802904.0,9.22699335976214
Martin Ritt,80360000.0,83115540.0,1.0342899452463912
Neil Nightingale,80000018.0,126546518.0,1.581831119087998
Gaëtan Brizzi,80000000.0,90874570.0,1.135932125
Joe Pytka,80000000.0,250200000.0,3.1275
John Hillcoat,80000000.0,98999875.0,1.2374984375
Paul Brizzi,80000000.0,126223167.0,1.5777895875
Don Hahn,80000000.0,90874650.0,1.135933125
Steve 'Spaz' Williams,80000000.0,37384046.0,0.467300575
Lorna Cook,80000000.0,122563539.0,1.5320442375
Chris McKay,80000000.0,311950384.0,3.8993798
Antony Hoffman,80000000.0,33463969.0,0.4182996125
Francis Glebas,80000000.0,90874570.0,1.135932125
John Schlesinger,79100000.0,139931662.0,1.7690475600505688
Wayne Kramer,79000000.0,10537335.0,0.1333839873417721
James Gray,79000000.0,72517093.0,0.9179378860759494
Jay Chandrasekhar,79000000.0,153477662.0,1.9427552151898733
Glenn Gordon Caron,79000000.0,53006108.0,0.6709633924050633
Cody Cameron,78000000.0,248384621.0,3.184418217948718
Karyn Kusama,78000000.0,84122710.0,1.078496282051282
Gordon Chan,78000000.0,1907743.0,0.0244582435897435
Scott Waugh,78000000.0,284550402.0,3.648082076923077
Kris Pearn,78000000.0,248384621.0,3.184418217948718
David Michôd,77250000.0,3295423.0,0.0426591974110032
Dwight H. Little,77000000.0,175934241.0,2.284860272727273
Hugh Hudson,77000000.0,106437987.0,1.3823115194805196
Bill Duke,76800000.0,67719029.0,0.8817581901041667
Seth Rogen,76000000.0,138383954.0,1.8208415
Michael Haigney,76000000.0,366005207.0,4.815857986842105
Tyler Perry,76000000.0,443097326.0,5.83022797368421
Charles Martin Smith,76000000.0,177770647.0,2.339087460526316
Des McAnuff,76000000.0,35134820.0,0.4623002631578947
Evan Goldberg,76000000.0,138383954.0,1.8208415
Brett Leonard,75850000.0,68493255.0,0.9030092946605142
Nick Park,75500000.0,417287396.0,5.526985377483443
Giuseppe Tornatore,75500000.0,31246274.0,0.4138579337748344
Ronny Yu,75000028.0,172551960.0,2.3006919410750086
John A. Davis,75000000.0,136117361.0,1.8148981466666667
Anthony Leondis,75000000.0,96913939.0,1.2921858533333332
Ding Sheng,75000000.0,183375175.0,2.445002333333333
Rand Ravich,75000000.0,19598588.0,0.2613145066666666
David Silverman,75000000.0,527068851.0,7.02758468
John Bruno,75000000.0,14010690.0,0.1868092
Aniruddha Roy Chowdhury,75000000.0,0.0,0.0
Kevin Bray,75000000.0,82706821.0,1.1027576133333334
John G. Avildsen,74606113.0,557742865.0,7.475833314087815
Kevin Munroe,74000000.0,109064386.0,1.473843054054054
Paul Tibbitt,74000000.0,311594032.0,4.210730162162162
Alexandre Aja,74000000.0,225248317.0,3.0438961756756755
Teddy Chan,73697387.0,9816730.0,0.1332032301226636
Pedro Almodóvar,73647632.0,273353806.0,3.711644197874549
Jim Abrahams,73500000.0,509385747.0,6.930418326530612
Clay Kaytis,73000000.0,349779543.0,4.791500589041096
Kevin Rodney Sullivan,73000000.0,171658650.0,2.351488356164384
Fergal Reilly,73000000.0,349779543.0,4.791500589041096
Paul Michael Glaser,72780000.0,89105034.0,1.2243065952184666
Til Schweiger,72650000.0,173023447.0,2.3816028492773573
George A. Romero,72629000.0,208119952.0,2.8655213757589943
Ben Stassen,72500000.0,16994353.0,0.2344048689655172
Herbert Ross,72200000.0,433974347.0,6.010725027700831
Tony Bill,72000000.0,60885438.0,0.8456310833333334
Gábor Csupó,72000000.0,144657393.0,2.0091304583333334
Ryan Murphy,72000000.0,211348914.0,2.9354015833333333
Irwin Winkler,72000000.0,110627965.0,1.5364995138888888
Jim Gillespie,72000000.0,132002436.0,1.8333671666666669
Jan Troell,72000000.0,0.0,0.0
David Mamet,71250000.0,24658174.0,0.3460796350877193
Michel Hazanavicius,71165200.0,133432856.0,1.874973385868374
Walter Salles,70900000.0,61467858.0,0.8669655571227081
Stuart Gordon,70200000.0,11637821.0,0.1657809259259259
Don Roos,70000000.0,144658550.0,2.0665507142857145
Tate Taylor,70000000.0,329369581.0,4.705279728571429
Sharon Maguire,70000000.0,493882215.0,7.055460214285715
Javier Abad,70000000.0,104945765.0,1.4992252142857143
Wych Kaosayananda,70000000.0,19924033.0,0.2846290428571428
Frederik Du Chau,70000000.0,131945022.0,1.8849288857142856
Jorge Blanco,70000000.0,104945765.0,1.4992252142857143
Doug Sweetland,70000000.0,182379278.0,2.605418257142857
Dan St. Pierre,70000000.0,35289215.0,0.5041316428571428
Gary Shore,70000000.0,215529201.0,3.078988585714286
